"ID","ACCOUNT NAME","OPPORTUNITY NAME","TYPE","AMOUNT","CLOSE DATE","STAGE","PROBABILITY (%)","ACCOUNT ID","STATUS"
"0066F00000rzbQeQAI","University of Annapolis","University of Annapolis - College Equipment","","20000","2020-03-22","Closed Won","100","0016F00002NE8EgQAL","Item Created"
"0066F00000rzbQfQAI","University of Green Bay","University of Green Bay - College Equipment","","7000","2020-02-05","Closed Lost","0","0016F00002NE8FiQAL","Item Created"
"0066F00000rzbQgQAI","University of Green Bay","University of Green Bay - College Equipment","","15000","2020-05-12","Closed Won","100","0016F00002NE8FiQAL","Item Created"
"0066F00000rzbQhQAI","University of Green Bay","University of Green Bay - College Equipment","","183000","2020-06-21","Closed Won","100","0016F00002NE8FiQAL","Item Created"
"0066F00000rzbQiQAI","University of Los Angeles","University of Los Angeles - Ball Sports","New Customer","54000","2020-01-16","Negotiation/Review","90","0016F00002NE8FXQA1","Item Created"
"0066F00000rzbQjQAI","University of Los Angeles","University of Los Angeles - College Equipment","New Customer","17000","2020-02-07","Closed Lost","0","0016F00002NE8FXQA1","Item Created"
"0066F00000rzbQkQAI","University of Los Angeles","University of Los Angeles - College Equipment","New Customer","88000","2020-02-29","Closed Won","100","0016F00002NE8FXQA1","Item Created"
"0066F00000rzbQlQAI","University of Rockville","University of Rockville - Ball Sports","","25000","2020-01-05","Negotiation/Review","90","0016F00002NE8G3QAL","Item Created"
"0066F00000rzbQmQAI","University of Rockville","University of Rockville - College Equipment","Existing Customer - Upgrade","12000","2020-02-14","Id. Decision Makers","60","0016F00002NE8G3QAL","Item Created"
"0066F00000rzbQnQAI","University of Rockville","University of Rockville - College Equipment","Existing Customer - Replacement","47000","2020-06-27","Closed Won","100","0016F00002NE8G3QAL","Item Created"
"0066F00000rzbQoQAI","University of Spokane","University of Spokane - Ball Sports","Existing Customer - Replacement","20000","2020-01-12","Prospecting","10","0016F00002NE8FvQAL","Item Created"
"0066F00000rzbQpQAI","University of Spokane","University of Spokane - College Equipment","Existing Customer - Upgrade","4000","2020-02-03","Negotiation/Review","90","0016F00002NE8FvQAL","Item Created"
"0066F00000rzbQqQAI","University of Spokane","University of Spokane - College Equipment","Existing Customer - Upgrade","24000","2020-02-25","Perception Analysis","70","0016F00002NE8FvQAL","Item Created"
"0066F00000rzbQrQAI","Warecan","Warecan - Corporate Wellness Center Setup","","3000","2020-02-08","Id. Decision Makers","60","0016F00002NE8EdQAL","Item Created"
"0066F00000rzbQsQAI","Warecan","Warecan - Corporate Wellness Center Equipment","","18000","2020-03-01","Closed Won","100","0016F00002NE8EdQAL","Item Created"
"0066F00000rzbQtQAI","Warecan","Warecan - Corporate Wellness Center Equipment","","10000","2020-06-17","Closed Won","100","0016F00002NE8EdQAL","Item Created"
